,Title,Authors,Cited by,Year
16,Heuristics in permutation gomea for solving the permutation flowshop scheduling problem,"GH Aalvanger, NH Luong, PAN Bosman, D Thierens",7,2018
17,"Efficient, effective, and insightful tackling of the high-dose-rate brachytherapy treatment planning problem for prostate cancer using evolutionary multi-objective optimization …","NH Luong, A Bouter, MC Van Der Meer, Y Niatsetski, C Witteveen, A Bel, ...",7,2017
18,Hybrid linkage learning for permutation optimization with Gene-pool optimal mixing evolutionary algorithms,"MW Przewozniczek, MM Komarnicki, PAN Bosman, D Thierens, B Frej, ...",5,2021
19,Training-free multi-objective evolutionary neural architecture search via neural tangent kernel and number of linear regions,"T Do, NH Luong",5,2021
20,Efficiency enhancement of evolutionary neural architecture search via training-free initialization,"QM Phan, NH Luong",3,2021
21,Enhancing multi-objective evolutionary neural architecture search with surrogate models and potential point-guided local searches,"QM Phan, NH Luong",3,2021
22,Improving the performance of MO-RV-GOMEA on problems with many objectives using tchebycheff scalarizations,"NH Luong, T Alderliesten, PAN Bosman",3,2018
23,Entropy-based substructural local search for the Bayesian optimization algorithm,"HN Luong, HTT Nguyen, CW Ahn",3,2010
24,Enhancing multi-objective evolutionary neural architecture search with training-free Pareto local search,"QM Phan, NH Luong",2,2022
25,Enhancing twin delayed deep deterministic policy gradient with cross-entropy method,"HT Nguyen, K Tran, NH Luong",2,2021
26,Fast and insightful bi-objective HDR prostate brachytherapy planning,"NH Luong, T Alderliesten, BR Pieters, A Bel, Y Niatsetski, PAN Bosman",2,2018
27,An entropy approach to evaluation relaxation for Bayesian optimization algorithm,"HTT Nguyen, HN Luong, CW Ahn",2,2012
28,A novel differential evolution using multiple-deme based mutation,"DH Lim, HN Luong, CW Ahn",2,2012
29,A novel differential evolution incorporated with parallel processing mechanism,"DH Lim, HN Luong, CW Ahn",2,2010
30,Entropy-based evaluation relaxation strategy for Bayesian optimization algorithm,"HN Luong, HTT Nguyen, CW Ahn",2,2010
31,"On the impact of linkage learning, gene-pool optimal mixing, and non-redundant encoding on permutation optimization","A Guijt, NH Luong, PAN Bosman, M de Weerdt",1,2022
32,Applying Deep Reinforcement Learning in Automated Stock Trading,"HT Nguyen, NH Luong",1,2021
33,Insightful and practical multi-objective convolutional neural network architecture search with evolutionary algorithms,"T Do, NH Luong",1,2021
34,Distribution system,"NC Koutsoukis, PS Georgilakis, ND Hatziargyriou, O Mohammed, ...",1,2020
35,PO-1020: better plans and easy plan selection via bi-objective optimization for HDR prostate brachytherapy,"SC Maree, ES Kooreman, NH Luong, N Van Wieringen, A Bel, ...",1,2018
36,Efficiency enhancements for evolutionary capacity planning in distribution grids,"NH Luong, MOW Grond, H La Poutré, PAN Bosman",1,2014
37,Training-Free Multi-Objective and Many-Objective Evolutionary Neural Architecture Search with Synaptic Flow,"A Vo, TN Pham, VB Nguyen, NH Luong",,2022
38,Benchmarking Gradient Estimation Mechanisms in Evolution Strategies for Solving Black-Box Optimization Functions and Reinforcement Learning Problems,"TB Tran, NH Luong",,2022
39,TF-MOPNAS: Training-free Multi-objective Pruning-Based Neural Architecture Search,"QM Phan, NH Luong",,2022
40,TF-GeneNAS: An evolution-based training-free approach to Neural Architecture Search,"L Doan, H Le, H Dang, L Tran, D Long, HM Nguyen, H Pham, N Nguyen, ...",,2022
41,Combining Soft-Actor Critic with Cross-Entropy Method for Policy Search in Continuous Control,"HT Nguyen, K Tran, NH Luong",,2022
42,Dynamic distribution network expansion planning with demand side management,"NH Luong, PAN Bosman, MOW Grond, JA Poutré",,2020
43,Design and Application of Scalable Evolutionary Algorithms in Electricity Distribution Network Expansion Planning,NH LUONG,,2018
44,Exploiting Linkage Information and Problem-Specific Knowledge in Evolutionary Distribution Network Expansion Planning,"NH Luong, H La Poutré, PAN Bosman",,2018
45,Entropy measurement-based estimation model for bayesian optimization algorithm,"HTT Nguyen, HN Luong, CW Ahn",,2010
46,Swarm and Evolutionary Computation,"A Guijt, NH Luong, PAN Bosman, M de Weerdt",,
